Department Name, Email, Phone Number
311 Customer Service Center, 311@sfgov.org, 415-701-2311
Adult Probation Department, apd@sfgov.org, 415-553-1750
Airport, info@flysfo.com, 650-821-8211
Animal Care and Control, acc@sfgov.org, 415-554-6364
Department of Aging and Adult Services, daas@sfgov.org, 415-355-6700
Department of Elections, sfvote@sfgov.org, 415-554-4375
Department of Emergency Management, dem@sfgov.org, 415-558-2700
Department of Police Accountability, dpa@sfgov.org, 415-241-7711
Department of Public Health, dph@sfdph.org, 415-554-2500
Department of Public Works, dpw@sfdpw.org, 415-554-6920
Fire Department, sffireadmin@sfgov.org, 415-558-3200
Human Resources, dhr@sfgov.org, 415-557-4800
Municipal Transportation Agency, sfmta@sfmta.com, 415-701-2311
Police Department, sfpd.online@sfgov.org, 415-575-4444
