,unique_id,cnn_intrsctn_fkey,cnn_sgmt_fkey,case_id_pkey,tb_latitude,tb_longitude,geocode_source,geocode_location,collision_datetime,collision_date,collision_time,accident_year,month,day_of_week,time_cat,juris,officer_id,reporting_district,beat_number,primary_rd,secondary_rd,distance,direction,weather_1,weather_2,collision_severity,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,intersection,vz_pcf_code,vz_pcf_group,vz_pcf_description,vz_pcf_link,number_killed,number_injured,street_view,dph_col_grp,dph_col_grp_description,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,point,data_as_of,data_updated_at,data_loaded_at,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md
0,15414,23926000,,151003670,37.7778565368195,-122.406436335616,SFPD-CROSSROADS,CITY STREET,2015-11-18T09:04:00.000,2015-11-18T00:00:00.000,09:04:00,2015,November,Wednesday,6:01 am to 10:00 am,3801,1171,SOUTHERN,4B1D,FOLSOM ST,COLUMBIA SQUARE ST,0.0,Not Stated,Clear,Not Stated,Injury (Complaint of Pain),Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7778565368195,-122.406436335616",CC,Vehicle-Bicycle,,Driver,East,Making Right Turn,Bicyclist,East,Proceeding Straight,POINT (-122.40643 37.777855),2015-11-18T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:11.790,32.0,32.0,1.0,10.0,34.0
1,52640,23969000,,200212108,37.7544528719,-122.408342784,SFPD-INTERIM DB,CITY STREET,2020-03-28T14:35:00.000,2020-03-28T00:00:00.000,14:35:00,2020,March,Saturday,2:01 pm to 6:00 pm,3801,#834,Mission,3D44C,YORK ST,23RD ST,0.0,Not Stated,Cloudy,Not Stated,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Intersection <= 20ft,22450(a),22450(a),Failure to stop at STOP sign,http://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22450,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7544528719,-122.408342784",CC,Vehicle-Bicycle,1.0,Bicyclist,East,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.40834 37.75445),2020-04-02T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:13.446,53.0,53.0,3.0,2.0,20.0
2,36577,22495000,5408000.0,140836694,37.7140400777839,-122.461135168136,SFPD-CROSSROADS,CITY STREET,2014-10-04T13:25:00.000,2014-10-04T00:00:00.000,13:25:00,2014,October,Saturday,10:01 am to 2:00 pm,3801,86,TARAVAL,3I90A,FARALLONES ST,ORIZABA AVE,420.0,East,Clear,Not Stated,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Not in Road,Dry,No Unusual Condition,Not Stated,Daylight,,Midblock > 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7140400777839,-122.461135168136",BB,Vehicle-Pedestrian,,Driver,North,Backing,Pedestrian,West,Proceeding Straight,POINT (-122.461136 37.71404),2014-10-04T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:13.468,81.0,81.0,10.0,1.0,24.0
3,27582,24726000,9299000.0,160732947,37.7916270504119,-122.402515531378,SFPD-CROSSROADS,CITY STREET,2016-09-08T14:00:00.000,2016-09-08T00:00:00.000,14:00:00,2016,September,Thursday,10:01 am to 2:00 pm,3801,4751,RICHMOND,3G00D,MONTGOMERY ST,PINE ST,100.0,South,Not Stated,Not Stated,Injury (Other Visible),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Midblock > 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7916270504119,-122.402515531378",EE,Bicycle-Parked Car,,Parked Vehicle,South,Parked,Bicyclist,South,Not Stated,POINT (-122.40252 37.791626),2016-09-08T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:13.500,108.0,108.0,6.0,3.0,8.0
4,14911,23811000,179000.0,180566685,37.7798561436,-122.394007535,SFPD-INTERIM DB,CITY STREET,2018-07-30T11:25:00.000,2018-07-30T00:00:00.000,11:25:00,2018,July,Monday,10:01 am to 2:00 pm,3801,728,Southern,3B13C,03RD ST,BRANNAN ST,120.0,South,Clear,Not Stated,Injury (Severe),Not Stated,Other Object,No Pedestrian Involved,Dry,"Holes, Deep Ruts",Not Stated,Daylight,,Midblock > 20ft,Other than driver,Not Stated,Not Stated,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7798561436,-122.394007535",FF,Bicycle Only,,Bicyclist,North,Proceeding Straight,,,,POINT (-122.394005 37.779858),2018-10-22T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.634,31.0,31.0,1.0,10.0,8.0
5,53158,25468000,4301000.0,200285490,37.8033078203,-122.414536955,SFPD-INTERIM DB,CITY STREET,2020-05-08T19:30:00.000,2020-05-08T00:00:00.000,19:30:00,2020,May,Friday,6:01 pm to 10:00 pm,3801,171,Central,3 Car,COLUMBUS AVE,TAYLOR ST,130.0,South,Clear,Not Stated,Injury (Complaint of Pain),Other,Not Stated,No Pedestrian Involved,Dry,"Holes, Deep Rut",Not Stated,Daylight,,Midblock > 20ft,21804(a),"21804(a,b)",Entering highway from alley or driveway,http://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21804,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.8033078203,-122.414536955",FF,Bicycle Only,,Bicyclist,South,Proceeding Straight,,,,POINT (-122.414536 37.803307),2020-05-15T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.658,107.0,107.0,6.0,3.0,23.0
6,21886,25967000,,140159327,37.7788509281149,-122.430047265573,SFPD-CROSSROADS,CITY STREET,2014-02-23T10:55:00.000,2014-02-23T00:00:00.000,10:55:00,2014,February,Sunday,10:01 am to 2:00 pm,3801,900,COE,3E14C,MCALLISTER ST,WEBSTER ST,0.0,Not Stated,Clear,Not Stated,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,Intersection <= 20ft,Unknown,Unknown,Unknown,Not Stated,0,3,"https://maps.google.com/maps?q=&layer=c&cbll=37.7788509281149,-122.430047265573",AA,Vehicle(s) Only Involved,,Driver,North,Proceeding Straight,Driver,West,Proceeding Straight,POINT (-122.430046 37.77885),2014-02-23T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.665,97.0,97.0,4.0,11.0,39.0
7,21355,25940000,5883000.0,4315248,37.7787058699196,-122.42367981907,SFPD-CROSSROADS,CITY STREET,2009-07-11T15:17:00.000,2009-07-11T00:00:00.000,15:17:00,2009,July,Saturday,2:01 pm to 6:00 pm,3801,1384,3E,4B5A,FULTON ST,GOUGH ST,95.0,West,Clear,Not Stated,Injury (Complaint of Pain),Not Stated,Non-Collision,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,,Midblock > 20ft,Unknown,Unknown,Unknown,Not Stated,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.7787058699196,-122.42367981907",CC,Vehicle-Bicycle,,Bicyclist,West,Proceeding Straight,Driver,West,Backing,POINT (-122.42368 37.778706),2009-07-11T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.697,97.0,97.0,4.0,11.0,39.0
8,52914,25595000,,200302088,37.8070725145,-122.417260631,SFPD-INTERIM DB,CITY STREET,2020-05-17T12:00:00.000,2020-05-17T00:00:00.000,12:00:00,2020,May,Sunday,10:01 am to 2:00 pm,3801,1102,Southern,A1,BEACH ST,JONES ST,0.0,Not Stated,Other,Not Stated,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Intersection <= 20ft,Unknown,Unknown,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.8070725145,-122.417260631",AA,Vehicle(s) Only Involved,,Driver,North,Entering Traffic,Driver,North,Proceeding Straight,POINT (-122.41726 37.80707),2020-05-19T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.721,99.0,99.0,6.0,3.0,23.0
9,49976,25301000,11248000.0,190964762,37.791463517,-122.421129709,SFPD-INTERIM DB,CITY STREET,2019-12-24T10:15:00.000,2019-12-24T00:00:00.000,10:15:00,2019,December,Tuesday,10:01 am to 2:00 pm,3801,1342,Northern,3E14A,SACRAMENTO ST,POLK ST,75.0,West,Clear,Not Stated,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,,Intersection Rear End <= 150ft,Unknown,Unknown,Unknown,,0,1,"https://maps.google.com/maps?q=&layer=c&cbll=37.791463517,-122.421129709",AA,Vehicle(s) Only Involved,1.0,Driver,West,Proceeding Straight,Parked Vehicle,Not Stated,Parked,POINT (-122.42113 37.791462),2020-01-06T00:00:00.000,2023-04-26T00:00:00.000,2023-07-29T03:30:14.772,105.0,105.0,4.0,3.0,21.0
